id	name	description	microscopy	celltype	component	doi	organism
74	6568	Mitotic spindle flattening.  Compression elongates microtubule spindle. Widefield fluorescence images of Ptk2 cell expressing GFP tubulin flattened with a micromanipulator at 3:00-3:30 (min:s).  Imaged with a 60X 1.4 NA objective on a Nikon TE300. Images captured with a Hamamatsu Orca ER.Filter set was HQ FITC Chroma, Ex 480/40 and Em 535/550. Bar is 5 microns.  Corresponds to Video 1 in Curr Biol. 2009 Jul 14;19(13):1086-95	fluorescence microscopy	epithelial cell	spindle microtubule	doi:10.7295/W9CIL6568	Macropus sp.
75	35463	Phase contrast microscopy of liver sinusoidal endothelial cells purified from a Brown Rat.	phase contrast microscopy	blood vessel endothelial cell	None	doi:10.7295/W9CIL35463	Rattus norvegicus
76	37241	This phase contrast image of a fibroblast was made available by James D. Jamieson and the Department of Cell Biology, Yale University School of Medicine.	phase contrast microscopy	fibroblast	nucleus	doi:10.7295/W9CIL37241	None
77	12626	Human embryonic stem cell colony. This phase contrast image shows a human embryonic stem cell colony growing on Matrigel, a substrate that supports attachment of hESC. The Matrigel forms a thin coating under the cells and is not directly visible in this image. This is a live cell preparation that was imaged using a Nikon inverted Eclipse microscope.Notes	phase contrast microscopy	stem cell	cell	doi:10.7295/W9CIL12626	Homo sapiens
78	27832	Time lapse series showing motility and morphology of cultured hTERT-RPE1 cells (telomerase immortalized human retinal pigment epithelium) arrested in G1  using 0.08 uM nocodazole (Uetake and Sluder 2010, Curr Biol 20:1666-1671). A movie prepared from this time series is grouped in the Cell Image library.	phase contrast microscopy	retinal pigment epithelium	None	doi:10.7295/W9CIL27832	Homo sapiens
79	39111	A human sixteen-cell embryo, also called a morula (latin for mulberry). The embryo has gone through four cycles of cell division to get to this stage and the cells have undergone compaction whereby they flatten onto each other.	phase contrast microscopy	embryonic cell	cell surface	doi:10.7295/W9CIL39111	Homo sapiens
80	12625	Human embryonic stem cell colonies. This phase contrast image shows two human embryonic stem cell colonies growing on a feeder layer of mouse embryonic fibroblasts. The stem cells actually grow in between the fibroblasts. The feeder layer helps provide nutrition for the stem cells as well as factors that keep them from differentiating. This is a live cell preparation that was imaged using a Nikon inverted Eclipse microscope.	phase contrast microscopy	stem cell	cell	doi:10.7295/W9CIL12625	Homo sapiens
81	35136	Phase contrast microscopy of living bone marrow derived macrophages.  These cells are highly motile and the snapshot catches lamella and ruffles where the cells are protruding and phase dense organelles inside the volumes of the cells.	phase contrast microscopy	macrophage	ruffle membrane	doi:10.7295/W9CIL35136	Mus musculus
82	24566	A frame from the grouped movie of a Balamuthia mandrillaris ameba within a culture of monkey kidney cells. Accompanying photographs are enlargements of the tips of pseudopodia to demonstrate their flexibility and movement, and a second set of photographs demonstrate the puncture of the plasma membrane of a monkey kidney cell. The first shows an indentation in the cell membrane, the withdrawal of the pseudopodia tip and the subsequent rupture of the membrane in the area indented by the amebic tip. The eventual break in the membrane may have resulted from the release of a proteolytic enzyme. Details of the preparation can be found in CIL:19325.	phase contrast microscopy	cell by organism	cell	doi:10.7295/W9CIL24566	Balamuthia mandrillaris
83	35141	Phase contrast microscopy of living bone marrow derived macrophages.  These cells are highly motile and the snapshot catches lamella and ruffles where the cells are protruding and phase dense organelles inside the volumes of the cells.	phase contrast microscopy	macrophage	ruffle membrane	doi:10.7295/W9CIL35141	Mus musculus
84	24579	A single frame from the movie (CIL:20154) that shows a large rounded monkey kidney cell being penetrated by a pseudopodium followed by the whole Balamuthia ameba. Detection of the ameba within, rather than on, or beneath the cell is indicated by the change in clarity of the ameba outside and then inside the cell"s exterior membrane. The ameba with splayed pseudopodia had begun to enter in apparently a slit in the surface of the cell. The integrity of the cell is maintained and its size does not change appreciably. The portion of the ameba within the cell is less clear than that portion still outside, and as it continues movement within the cell that continues until only a small portion (tail) of the ameba remains outside. Photographed at 1200X. Additional photographs (grouped with this movie) show the movement of the ameba inside of the cell its movement deforms the rounded exterior membrane before the whole ameba emerges some 20 minutes later.	phase contrast microscopy	cell by organism	cell	doi:10.7295/W9CIL24579	Balamuthia mandrillaris
85	24570	This photograph and CIL:24571 show the extent of some amebae in a cell culture at lower magnification. In the movie (CIL:20153) an amoeba, Balamuthia mandrillaris, within a culture of feeder cells is extended from its branched pseudopodia at the upper left corner of the picture while its rope-like body curves over and around a nucleus of a monkey kidney cell; additional branches extended both downward and upward into and between other cells. Those branches terminate with more finger-like pseudopodia projections. The density and the movement of the cytoplasmic granules delineate the ameba from its feeder cells that, by comparison, are quiescent with few scattered cytoplasmic granules and a large, rounded nucleus containing several dense nucleoli. The purpose of this movie is to indicate the identity of an ameba amongst other cells in the co-culture. It shows the expanse of the ameba and its simultaneous involvement with several cells. Observations of the amebas under such conditions show their movement and interactions as they feed in a dimension unlike that of the amebas identification in sectioned material obtained from cases of amebic encephalitis. Adapted with permission.	phase contrast microscopy	cell by organism	cell	doi:10.7295/W9CIL24570	Balamuthia mandrillaris
86	35212	Time lapse movie of mouse embryonic fibroblasts in culture imaged at 30 second intervals by phase contrast microscopy.  A micropipette is positioned near the cells to deliver either a growth factor or control buffer.  In this sequence PBS buffer is added and the cells move independently of the addition.  Also of note, a cell can be seen dividing in the lower left.	phase contrast microscopy	fibroblast	ruffle	doi:10.7295/W9CIL35212	Mus musculus
87	35209	Time lapse movie of mouse embryonic fibroblasts in culture imaged at 30 second intervals by phase contrast microscopy.  A micropipette is positioned near the cells to deliver either a growth factor or control buffer.  In this sequence a PDGF-AA is added and cells extend rapidly and turn to the pipette tip.	phase contrast microscopy	fibroblast	ruffle	doi:10.7295/W9CIL35209	Mus musculus
88	8864	This is part of a triplicate data set of non-overlapping fields of NIH 3T3 fibroblasts cultured on polystyrene.  Each set is indicated by the well number.  Each image contains 4 images of each field as a time series.  The first image is the phase contrast image.  The second image channel is Tenascin-C promoter driven destabilized EGFP reporter vector.  The third image is Texas Red C2-maleimide (to stain cell body), and the fourth image is Dapi (to stain nuclei).   Images were collected on a Zeiss Axiovert 100. The samples were viewed with a Zeiss A-plan 10x Ph1 0.25 NA objective and recorded with a CoolSnapFX camera using 2 x 2 binning. The filters were as follows: 1.) A custom dichroic multipass beam splitter optimized for imaging DAPI, EGFP and TxRed (part# BS51019+400dclp, Chroma Technology, VT); 2.) DAPI excitation filter-360/40 nm; 3.) DAPI emission filter-460/50 nm; 4.) EGFP excitation filter-470/40 nm; 5.) EGFP emission filter-525/50 nm; 6.) TxRed excitation filter-568/24 nm; 7.) TxRed emission filter-630/60 nm. Autofocus on the TxRed color channel was performed at each location before the series of images were collected.Protocol: The cells were seeded on TCPS dishes at ~1000 cells/well during a passage cycle. The test cultures were incubated overnight before being rinsed with PBS and then fixed with 300 uM m-maleimidobenzoyl-N-hydroxysuccinimidyl ester (MBS) in microtubule stabilizing buffer (MTSB) composed of 4% (w/v) polyethylene glycol (PEG) 8000, 100 mM 1,4-piperazinediethanesulfonic acid (PIPES),10 mM ethylene glycol-bis(2-aminoethylether)-N,N,N’,N’-tetraacetic acid (EGTA), pH 6.9 for at least 16h at RT. The fixative was removed and solution of 0.05% Triton X100 in PBS containing 10 ng/mL of Tx Red C2-maleimide and 2 ng/mL DAPI for 2h. The staining solution was removed, cells were rinsed with PBS/3% BSA, and 0.05% sodium azide and PBS. A 50% glycerol/10 mM Tris, pH 8.0 containing 2ng/mL DAPI and 0.9g/l 1,4-diazobicyclo[2,2,2]octane (DABCO) as an antifade reagent was then added to each well for imaging purposes. The bottom of the wells were wiped with 70% ethanol wipe and then a dry wipe before imaging.Purpose: The purpose of the dataset was to measure the distribution of EGFP fluorescence intensities within individual cells in the population. Using the image sets collected, a plugin for ImageJ was used to perform the following image analysis tasks. 1.) The Txred images (which is a general purpose cell body stain) were segmented by manual thresholding. 2.) The resulting mask was used to define cell ROIs on the DAPI and EGFP images. 3.) The number of nuclei in each ROI is determined from the DAPI image and the integrated intensity of the EGFP signal in the cell is determined from ROI in the EGFP image. 4.) A local background intensity around each cell in the EGFP image is determined by dilating the ROI by 3 pixels and determining the pixel intensities in only the 3 pixel dilation area. When this data is placed in a spread sheet, you can use the results to identify cell clusters (i.e. have more than 1 nuclei), debris or partial cell (i.e. no nuclei), poor EGFP/cell measurements (i.e. high background intensity). The spreadsheet can be used to measure the distribution of EGFP cell intensities within a population of cells. The phase images were collected as quality control and validation data. The phase images provide a human validation mechanism if there are questions about the staining and/or fluorescence detection in an image.References: 1. Langenbach, K.J., Elliott, J.T., Tona, A., and Plant, A.L. (2006) Evaluating the correlation between fibroblast morphology and promoter activity on thin films of extracellular matrix proteins. BMC-Biotechnology 6(1):14. 2.Elliott, J.T., Halter, M., Woodward, J.T., Langenbach, K.J., Tona, A., Plant, A.L. (2008) Evaluating the performance of fibrillar collagen films formed at polystyrene surfaces as cell culture substrates. Biointerphases. 3(2):19-28.	phase contrast microscopy	permanent cell line cell	cell	doi:10.7295/W9CIL8864	Mus musculus
89	38918	Confocal image of a section through a region of the inner ear called the vestibular organ, which is part of a complex arrangement of tubes and chambers that work together to enable us to keep our balance. As our heads move, fluid flows over the hair bundles (red) pushing them backwards and forwards. The nerves (green) connected to the base of the hair cells then send messages to the brain. By interpreting these movements the brain enables us to make any compensating movements and so keep our balance. The cell nuclei are stained blue.	confocal microscopy	neuron	nucleus	doi:10.7295/W9CIL38918	None
90	14971	Distribution of interneurons expressing EGFP from the 5HT3 receptor promoter (Tg(Htr3a-EGFP)DH30Gsat, www.gensat.org) in the dorsal hippocampus colabelled for the CB1 cannabinoid receptor (red) and counterstained with DAPI (blue) to show the cell layers.  EGFP expression was amplified with chicken anti-GFP (Abcam, 1:2000); cell bodies and fibers are present throughout all layers of the hippocampus but enriched in the hilus and stratum lacunosum moleculare (see associated images).  CB1 immunoreactivity (L15 rabbit polyclonal 1:200, K. Mackie) is prominent in the terminals of basket cells synapsing in the pyramidal cell layer.  CB1 is also enriched in axons with distinct intensities in the inner and outer molecular layer of the dentate gyrus. CB immunoreactivity is also present in the stratum radiatum and stratum lacunosum moleculare. Section (40 um) was mounted with Fluoromount G and imaged with a 5X, 0.15 NA Achroplan objective on a Zeiss Axiovert microscope.  AF568 was excited at 562/40 nm and emission collected at 624/40 nm with Semrock filters and a single band dichroic (530-585 nm reflected, 601-800 nm transmitted). AF488 was excited at 482/35 nm and emission collected at 536/40 nm with Semrock filters and a single band dichroic (446-499 nm reflected, 513-735 nm transmitted). DAPI was excited at 350/50 nm and emission collected at 460/50 nm with a CLP400 dichroic (Chroma). Single images were captured for each channel using a Zeiss Axiocam MR CCD and pseudo-colored using Axiovision.  Linear background subtraction was used on the presented image.  See Davis and Puhl 2011 (Pubmed ID 21305052) for a detailed staining protocol.  This image is part of a series characterizing EGFP expression from the 5HT3 promoter throughout the brain.	fluorescence microscopy	neuron	neuronal cell body	doi:10.7295/W9CIL14971	Mus musculus
91	42753	Confocal image of pastel neurons in the hippocampus of a "Brainbow" mouse brain, with each neuron expressing a distinct color.  In Brainbow mice, neurons randomly choose combinations of red, yellow and cyan fluorescent proteins, so that they each glow a particular color. This provides a way to distinguish neighboring neurons and visualize brain circuits.   Honorable Mention, 2007 Olympus BioScapes Digital Imaging Competition.For additional details see:  Livet J, Weissman TA, Kang H, Draft RW, Lu J, Bennis RA, Sanes JR, Lichtman JW.Nature. 2007 Nov 1;450(7166):56-62.	confocal microscopy	neuron	neuron projection	doi:10.7295/W9CIL42753	Mus musculus
92	39947	Maximum intensity projection of an optical section series of a basket cell from the rat cerebellar vermis.  This cell was labeled by intracellular injection of lucifer yellow, and imaged using Biorad MRC 1024 confocal with a 40X, NA 1.4 objective.  This image has been downsampled from the raw data image which can be accessed using the link provided to the Cell Centered Database.	confocal microscopy	neuron	neuronal cell body	doi:10.7295/W9CIL39947	Rattus norvegicus
93	34544	Immunohistochemistry of neuron-specific β-III-tubulin (red) shows the delicate dendrites of Purkinje cells in the cerebellum. Cell nuclei are revealed with DAPI staining (blue). Scale bar, 100 µm.	fluorescence microscopy	neuron	dendrite	doi:10.7295/W9CIL34544	Mus musculus
94	41022	Sensory axons (long, slender nerve fibers) covering the tail of a 3- day-old larval zebrafish. This "Brainbow" image was collected using confocal microscopy. In the Brainbow technique (Nature, 2007), cells randomly choose combinations of red, yellow and cyan fluorescent proteins, so that they each glow a particular color. This provides a way to distinguish neighboring cells of the nervous system and follow their pathways.  Seventh Prize, 2009 Olympus BioScapes Digital Imaging Competition®.	confocal microscopy	neuron	neuron projection	doi:10.7295/W9CIL41022	Danio rerio
95	39954	A Purkinje neuron from the cerebellum of a 2 month old male C57BL/6 mouse, injected with Lucifer Yellow.  The elaborate, highly branched dendritic arbor is revealed in this maximum projection image which was generated by compiling a z-series of optical sections.  This image has been downsampled from the raw data image which can be accessed using the link provided to the Cell Centered Database.	confocal microscopy	neuron	dendrite	doi:10.7295/W9CIL39954	Mus musculus
96	41025	Amyotrophic Lateral Sclerosis (ALS, also known as Lou Gehrig"s Disease) motor neurons created from induced Pluripotent Stem (iPS) cells made from the skin cells of an 83-year-old ALS patient. iPS cells gives scientists an opportunity to study ALS in affected human motor neurons and other patient-derived brain cells.  Tenth Prize, 2009 Olympus BioScapes Digital Imaging Competition®.	fluorescence microscopy	neuron	neuron projection	doi:10.7295/W9CIL41025	Homo sapiens
97	41920	Confocal image of synaptic connexions in the mouse olivo-cerebellar system.  Purkinje cells (immunofluorescence, blue), olivary axons (anterograde tracing, yellow) and synaptic terminals (immunofluorescence, red) are shown, revealing the highly speciﬁc organization of neuronal connexions in the mouse cerebellum.  Honorable Mention, 2009 Olympus BioScapes Digital Imaging Competition®.	confocal microscopy	neuron	synaptic terminal	doi:10.7295/W9CIL41920	Mus musculus
98	40021	A Purkinje neuron from the cerebellum of a 2 month old male C57BL/6 mouse, injected with Lucifer Yellow.  The elaborate, highly branched dendritic arbor is revealed in this maximum projection image which was generated by compiling a z-series of optical sections.  This image has been downsampled from the raw data image which can be accessed using the link provided to the Cell Centered Database.	confocal microscopy	neuron	dendrite	doi:10.7295/W9CIL40021	Mus musculus
99	39952	A Purkinje neuron from the cerebellum of a 2 month old male C57BL/6 mouse, injected with Lucifer Yellow.  The elaborate, highly branched dendritic arbor is revealed in this maximum projection image which was generated by compiling a z-series of optical sections.  This image has been downsampled from the raw data image which can be accessed using the link provided to the Cell Centered Database.	confocal microscopy	neuron	dendrite	doi:10.7295/W9CIL39952	Mus musculus
100	807	During hippocampal neuron development in vitro, N-cadherin becomes selectively localized to excitatory synapses. This image shows immunolocalization of N-cadherin.  Other images in this image group show this staining is colocalized at synapses that are also immunopositive for the presynaptic glutamate transporters V-glut 1 and 2 and for the postsynaptic NMDA receptor. Individual fluorescent images were acquired using a Nikon Diaphot 300 with a 60X objective. Preparation was fixed in 4% paraformaldehyde and permeabilized with .01% TritonX-100.	fluorescence microscopy	neuron	excitatory synapse	doi:10.7295/W9CIL807	Rattus
101	39971	Single transmitted light section from a through focus series through a photoconverted medium spiny cell from the neostriatum of a wild type mouse.  Flocculent material surrounding the labeled cell is likely photoconverted mitochondria or non-specific debris produced by the photoconversion procedure.  This image has been downsampled from the raw data image which can be accessed using the link provided to the Cell Centered Database, where the reconstruction of the entire cell can also be found.	confocal microscopy	neuron	neuronal cell body	doi:10.7295/W9CIL39971	Mus musculus
102	808	During hippocampal neuron development in vitro, N-cadherin becomes selectively localized to excitatory synapses. This image shows immunolocalization of the NMDA receptor, which is postsynaptic.  Other images in this image group show immunolocalization of N-cadherin, colocalized at synapses that are also immunopositive for the presynaptic glutamate transporters V-glut 1 and 2. Individual fluorescent images were acquired using a Nikon Diaphot 300 with a 60X objective. Preparation was fixed in 4% paraformaldehyde and permeabilized with .01% TritonX-100.	fluorescence microscopy	neuron	excitatory synapse	doi:10.7295/W9CIL808	Rattus
103	2959	Development of the axon and dendritic arbors in cultured hippocampal neurons after 3 days in vitro. MAP2 staining (red) highlights the dendrites, while microtubule staining (green) reveals both the axons and dendrites in the field of view.  Neurons at 2, 3, 5 and 7 days in vitro are represented in this image group.Detailed methods: Embryonic rat hippocampal neurons were prepared as previously described (see Kaech and Banker, 2006, Nat Protoc).  Cells were prepared for fluorescent staining as previously described (Withers and Banker, 1998, in Culturing Nerve Cells, MIT Press).  Briefly, cells were fixed (4% formaldehyde, 4% sucrose in phosphate buffered saline, pH 7.4), permeabilized with 0.25% Triton and immunostained for tubulin (monoclonal DM1A, from Sigma with Alexa 488 conjugated secondary, excitation, 494, emission, 519 [Invitrogen, Molecular Probes]) and MAP2 (polyclonal Ab266, from S. Halpain with d549 conjugated secondary, excitation, 555, emission, 568, Jackson Immunoresearch).  Images were acquired with a Leica DMRA microscope with a 20X (Fluotar, NA 0.5) lens, Photometrics CoolSnap ES CCD camera and MetaMorph software.  Image generated with the MetaMorph color combine function.	fluorescence microscopy	neuron	microtubule cytoskeleton	doi:10.7295/W9CIL2959	Rattus
104	10404	Cultured hippocampal neurons after 23 days in vitro, immunostained for MAP2, a microtubule associated protein localized to dendrites (red), and PSD95, a scaffolding protein concentrated in the postsynaptic density of excitatory synapses, particularly in dendritic spines (green).  Detailed methods: Embryonic rat hippocampal neurons were prepared as previously described (see Kaech and Banker, 2006, Nat Protoc).  Cells were prepared for fluorescent staining as previously described (Withers and Banker, 1998, in Culturing Nerve Cells, MIT Press).  Briefly, cells were fixed (4% formaldehyde, 4% sucrose in phosphate buffered saline, pH 7.4), permeabilized with 0.25% Triton and immunostained for MAP2 (from S. Halpain) with d549 conjugated secondary, excitation, 555, emission, 568, Jackson Immunoresearch) and PSD95 (from NeuroMab, with Alexa488 conjugated secondary, excitation, 496, emission, 519, Invitrogen).  Images were acquired with a Leica DMRA microscope with a 40X lens (HCX PL Fluotar, NA 0.75), Photometrics CoolSnap ES CCD camera and MetaMorph software. The merged image was generated by creating a MetaMorph stack file.	fluorescence microscopy	neuron	dendrite	doi:10.7295/W9CIL10404	Rattus
105	36012	Omega figures capturing synaptic vesicle exocytosis at the synaptic junction. This event was observed during chemical stimulation of the frog neuromuscular junction, prepared by rapid freezing with liquid helium followed by freeze substition. 4-aminopyridine was used to trigger release of the neurotransmitter acetylcholine.Image by John Heuser and Tom Reese	transmission electron microscopy (TEM)	neuron	synaptic vesicle	doi:10.7295/W9CIL36012	Anura
106	40279	Scanning electron micrograph of Geranium cinereum (geranium) pollen.  These specimens have been acetolyzed to remove cytoplasm and pollenkit in order to reveal the intricate wall structure. This is part of a large image collection of scanning electron micrographs of pollen samples. Images of a particular species are grouped together. However, to find images and groups of images from other species, please search for the the name of the contributor, Louisa Howard.	scanning electron microscopy (SEM)	pollen	pollen wall	doi:10.7295/W9CIL40279	Geranium cinereum
107	40290	Scanning electron micrograph of Paeonia lactiflora (Chinese)  pollen.  These peony specimens have been acetolyzed to remove cytoplasm and pollenkit in order to reveal the intricate wall structure. This is part of a large image collection of scanning electron micrographs of pollen samples. Images of a particular species are grouped together. However, to find images and groups of images from other species, please search for the the name of the contributor, Louisa Howard.	scanning electron microscopy (SEM)	pollen	pollen wall	doi:10.7295/W9CIL40290	Paeonia lactiflora
108	40327	Scanning electron micrograph of Ricinus communis (Castor bean plant) pollen. These specimens have been acetolyzed to remove cytoplasm and pollenkit in order to reveal the intricate wall structure. This is part of a large image collection of scanning electron micrographs of pollen samples. Images of a particular species are grouped together. However, to find images and groups of images from other species, please search for the the name of the contributor, Louisa Howard.	scanning electron microscopy (SEM)	pollen	pollen wall	doi:10.7295/W9CIL40327	Ricinus communis
109	40340	Scanning electron micrograph of Ambrosia artemisiifolia (ragweed) pollen. These specimens have been acetolyzed to remove cytoplasm and pollenkit in order to reveal the intricate wall structure. This is part of a large image collection of scanning electron micrographs of pollen samples. Images of a particular species are grouped together. However, to find images and groups of images from other species, please search for the the name of the contributor, Louisa Howard.	scanning electron microscopy (SEM)	pollen	pollen wall	doi:10.7295/W9CIL40340	Ambrosia artemisiifolia
110	40341	Scanning electron micrograph of Schlumbergera truncata (Christmas cactus)  pollen. These specimens have been acetolyzed to remove cytoplasm and pollenkit in order to reveal the intricate wall structure. This is part of a large image collection of scanning electron micrographs of pollen samples. Images of a particular species are grouped together. However, to find images and groups of images from other species, please search for the the name of the contributor, Louisa Howard.	scanning electron microscopy (SEM)	pollen	pollen wall	doi:10.7295/W9CIL40341	Schlumbergera truncata
111	40280	Scanning electron micrograph of Ipomea purpurea (Morning Glory) pollen. These specimens have been acetolyzed to remove cytoplasm and pollenkit in order to reveal the intricate wall structure. This is part of a large image collection of scanning electron micrographs of pollen samples. Images of a particular species are grouped together. However, to find images and groups of images from other species, please search for the the name of the contributor, Louisa Howard.	scanning electron microscopy (SEM)	pollen	pollen wall	doi:10.7295/W9CIL40280	Ipomea purpurea
112	40287	Scanning electron micrograph of Allium pollen. These specimens have been acetolyzed to remove cytoplasm and pollenkit in order to reveal the intricate wall structure. This is part of a large image collection of scanning electron micrographs of pollen samples. Images of a particular species are grouped together. However, to find images and groups of images from other species, please search for the the name of the contributor, Louisa Howard.	scanning electron microscopy (SEM)	pollen	pollen wall	doi:10.7295/W9CIL40287	Allium
113	40304	Scanning electron micrograph of Petunia pollen. These specimens have been acetolyzed to remove cytoplasm and pollenkit in order to reveal the intricate wall structure. This is part of a large image collection of scanning electron micrographs of pollen samples. Images of a particular species are grouped together. However, to find images and groups of images from other species, please search for the the name of the contributor, Louisa Howard.	scanning electron microscopy (SEM)	pollen	pollen wall	doi:10.7295/W9CIL40304	Petunia
114	11214	Glial cells in the nerve cord of the annelid worm, Aphrodita aculeata are rich in 10 nm filaments, and desmosomes are abundant. Figure 89 from Chapter 3 (Junctional Specializations) of "The Cell, 2nd Ed." by Don W. Fawcett M.D. A PDF copy of the accompanying chapter is available on the ASCB"s BioEDUCATE website.	illumination by electrons	glial cell (sensu Nematoda and Protostomia)	desmosome	doi:10.7295/W9CIL11214	Aphrodita aculeata
115	11209	Upper panel, adjoining portions of two cells in the stratum spinosum of hamster cheek pouch epithelium shows desmosome junctions between two cells.  Lower, a portion of the basal surface of a cell in the epidermis of a larval salamander Ambystoma punctatum shows hemi-desmosomes spaced at regular intervals.  Figures 83 (upper, by J.T. Albright and M.A. Listgarten) and 84 (lower, by E. Hay) from Chapter 3 (Junctional Specializations) of "The Cell, 2nd Ed." by Don W. Fawcett M.D. A PDF copy of the accompanying chapter is available on the ASCB"s BioEDUCATE website.	illumination by electrons	squamous epithelial cell	desmosome	doi:10.7295/W9CIL11209	Phodopus
116	11211	Upper: capillary endothelial cell junction in the rete mirabile of the gas bladder of the toadfish Opsanus tau shows dense intracelluular plaques and the central dense line in the intercellular space, characteristics that define desmosomes.  Flanking this junction are other smaller and less highly organized densities with few, or no tonofilaments (asterisks).  Lower: Desmosomes are abundant in the stratum spinosum of the epidermis from the muzzle of the cow, Bos taurus, an epithelium that is constantly subjected to flexion and attrition during grazing. Lower image contributed by Gida Matoltsy. Figures 85 (upper) and 86 (lower) from Chapter 3 (Junctional Specializations) of "The Cell, 2nd Ed." by Don W. Fawcett M.D. A PDF copy of the accompanying chapter is available on the ASCB"s BioEDUCATE website.	illumination by electrons	capillary endothelial cell	desmosome	doi:10.7295/W9CIL11211	Opsanus tau
117	7620	Junctional complex between two cells in the epithelium of the rat intestinal mucosa. The tight junction (also known as zonula occludens) is the structure located nearest to the lumen. The elimination of the intercellular gap (approx 90 angstroms) is clearly visible, but the fusion line of the two apposed membranes cannot be clearly distinguished at this magnification. The adherens junction (also known as zonula adherens) is the next structure. A relatively wide intercellular space (approx 200 angstroms) is maintained throughout this junction. Extensive actin filament networks are seen along both sides of the junction which are continuous with the terminal web into which the filamentous rootlets of the mircovilli penetrate. Dense material can be seen along parts of both sides of the junction. The limits of a desmosome are marked by the edges of the dense plaques. Desmosomes are characterized by a wide intercellular space (approx 240 angstroms) bisected by an intermediate line. Bundles of intermediate filaments (diameter approx 80 angstroms) converge into a dense plaque on each side of the desmosome. The trilaminar structure of the cell membrane is clearly seen along the microvilli, between the Zonula Adherens and the desmosome and within the desmosome.First description of 1) tight junctions and 2) the junctional complexes between epithelial cells, consisting of tight junction, adherens junction and a desmosome. Identical labeled image available as CIL# 7621. Image published as Figure 1 in Farquhar and Palade, 1963.	transmission electron microscopy (TEM)	epithelial cell	desmosome	doi:10.7295/W9CIL7620	Rattus rattus
118	34611	Cross section the 9 + 2 axoneme of the cilium of Tetrahymena. The plasma membrane covers the axoneme and is continuous with the plasma membrane covering the cell body. Each doublet tilts inward to the tangent of the axonemal cylinder. Two arms, an inner arm and outer arm, extend from the complete microtubule of each doublet. These arms have ATPase activity and are called dyneins. They cause one doublet to slide against the adjacent doublet. Other protein links in the axoneme are elastic and induce the characteristic bending of the cilium and prevent excess sliding as the doublets slide past each other. TEM taken on 7/15/67 by R. Allen with Philips 200 operating at 60kV. Neg. 19,200X. Bar = 0.2µm. The negative was printed to paper and the image was scanned to Photoshop. This digitized image is available for qualitative analysis. An unprocessed, high resolution version of this image (CIL:34601) is in the library and available for quantitative analysis. Additional information available at (http://www5.pbrc.hawaii.edu/allen/).	detection of electrons	cell by organism	axoneme	doi:10.7295/W9CIL34611	Tetrahymena pyriformis
119	35961	Figure 340 from Chapter 14 (Sperm Flagellum) of "The Cell, 2nd Ed." by Don W. Fawcett M.D.  Cross sections of sperm tails of a caddis fly illustrate differences between the organization of the insect sperm flagella and that of mammals, notably in the position of the nine outer elements in relation to the doublets of the axoneme.  Image by David Phillips. A PDF copy of the accompanying chapter is available on the ASCB’s BioEDUCATE website.	illumination by electrons	sperm	axoneme	doi:10.7295/W9CIL35961	Trichoptera sp. PACaddisfly-1
120	34601	High resolution micrograph of a cross section the 9 + 2 axoneme of the cilium of Tetrahymena. The plasma membrane covers the axoneme and is continuous with the plasma membrane covering the cell body. Each doublet tilts inward to the tangent of the axonemal cylinder. Two arms, an inner arm and outer arm, extend from the complete microtubule of each doublet. These arms have ATPase activity and are called dyneins. They cause one doublet to slide against the adjacent doublet. Other protein links in the axoneme are elastic and induce the characteristic bending of the cilium and prevent excess sliding as the doublets slide past each other. TEM taken on 7/15/67 by R. Allen with Philips 200 operating at 60kV. Neg. 19,200X. The raw film was scanned with an Epson Perfection V750 Pro. This image is best used for quantitative analysis.	detection of electrons	cell by organism	axoneme	doi:10.7295/W9CIL34601	Tetrahymena pyriformis
121	35959	Figure 330 from Chapter 14 (Sperm Flagellum) of "The Cell, 2nd Ed." by Don W. Fawcett M.D.  This electron micrograph shows a transverse section through the principle piece of Chinese hamster spermatozoa.  Image by David Phillips. A PDF copy of the accompanying chapter is available on the ASCB’s BioEDUCATE website.	illumination by electrons	sperm	axoneme	doi:10.7295/W9CIL35959	Cricetulus griseus
122	35968	Figures 335 (upper) and 336 (lower) from Chapter 14 (Sperm Flagellum) of "The Cell, 2nd Ed." by Don W. Fawcett M.D.  Upper, cross-section of guinea pig sperm tail at the level of the midpiece; lower, cross-section at the level of the principal piece.  Both samples were prepared using aldehyde fixation in the presence of tannic acid.  When followed with osmium and uranyl acetate staining, this procedure improves contrast but may result in thickening of the doublets, arms and spokes.  Upper image by Daniel Friend; lower from David Phillips. A PDF copy of the accompanying chapter is available on the ASCB’s BioEDUCATE website.	illumination by electrons	sperm	axoneme	doi:10.7295/W9CIL35968	Cavia porcellus
